reg
diabetes

/home/mbaddar/Documents/mbaddar/phd/genmodel/genmodel39_venv/bin/python /home/mbaddar/Documents/mbaddar/phd/genmodel/RectifiedFlow/tutorial/test_tensor_bsplines_clf_reg.py
data range = (-0.13776722569000302, 0.19878798965729408)
Iteration 102, loss = 4280.45397966
Iteration 103, loss = 4129.28845447
Iteration 104, loss = 3992.06636988
Iteration 105, loss = 3855.87534991
Iteration 106, loss = 3726.91184050
Iteration 107, loss = 3603.29096557
Iteration 108, loss = 3484.02532903
Iteration 109, loss = 3370.81218451
Iteration 110, loss = 3260.35902689
Iteration 111, loss = 3161.49359744
Iteration 112, loss = 3065.78910463
Iteration 113, loss = 2975.51210098
Iteration 114, loss = 2887.92532204
Iteration 115, loss = 2811.74805310
Iteration 116, loss = 2735.57030851
Iteration 117, loss = 2667.76908412
Iteration 118, loss = 2600.17732363
Iteration 119, loss = 2541.61347905
Iteration 120, loss = 2488.70757714
Iteration 121, loss = 2438.42595234
Iteration 122, loss = 2390.01055695
Iteration 123, loss = 2351.05920600
Iteration 124, loss = 2312.07765183
Iteration 125, loss = 2277.84911069
Iteration 126, loss = 2247.15982679
Iteration 127, loss = 2217.92933837
Iteration 128, loss = 2193.80384164
Iteration 129, loss = 2168.70570425
Iteration 130, loss = 2150.37747913
Iteration 131, loss = 2132.14073311
Iteration 132, loss = 2116.25382493
Iteration 133, loss = 2103.29067234
Iteration 134, loss = 2090.48771229
Iteration 135, loss = 2077.14971614
Iteration 136, loss = 2067.90141522
Iteration 137, loss = 2059.34171358
Iteration 138, loss = 2049.58106346
Iteration 139, loss = 2041.24308408
Iteration 140, loss = 2034.79843197
Iteration 141, loss = 2030.15278787
Iteration 142, loss = 2023.28470753
Iteration 143, loss = 2018.02284829
Iteration 144, loss = 2012.04254876
Iteration 145, loss = 2007.18792443
Iteration 146, loss = 2002.09423454
Iteration 147, loss = 1997.57774336
Iteration 148, loss = 1992.93290248
Iteration 149, loss = 1988.73649112
Iteration 150, loss = 1984.76226702
Iteration 151, loss = 1981.04760682
Iteration 152, loss = 1976.39016581
Iteration 153, loss = 1972.27846654
Iteration 154, loss = 1968.58069258
Iteration 155, loss = 1964.38795556
Iteration 156, loss = 1960.81001877
Iteration 157, loss = 1956.87773265
Iteration 158, loss = 1952.85952914
Iteration 159, loss = 1949.10903900
Iteration 160, loss = 1945.53711305
Iteration 161, loss = 1941.65379180
Iteration 162, loss = 1938.07421998
Iteration 163, loss = 1934.55222498
Iteration 164, loss = 1930.90712414
Iteration 165, loss = 1927.41117337
Iteration 166, loss = 1923.60450281
Iteration 167, loss = 1920.32629365
Iteration 168, loss = 1916.65980992
Iteration 169, loss = 1913.33687256
Iteration 170, loss = 1909.81636310
Iteration 171, loss = 1906.40398273
Iteration 172, loss = 1903.06774783
Iteration 173, loss = 1899.84445562
Iteration 174, loss = 1896.31195151
Iteration 175, loss = 1893.13391660
Iteration 176, loss = 1889.72178473
Iteration 177, loss = 1886.57183247
Iteration 178, loss = 1883.49399852
Iteration 179, loss = 1880.31078529
Iteration 180, loss = 1876.96612486
Iteration 181, loss = 1873.86414654
Iteration 182, loss = 1870.69034947
Iteration 183, loss = 1867.76818901
Iteration 184, loss = 1864.51702698
Iteration 185, loss = 1861.50297084
Iteration 186, loss = 1858.57451684
Iteration 187, loss = 1855.47985923
Iteration 188, loss = 1852.69552320
Iteration 189, loss = 1849.70025031
Iteration 190, loss = 1846.66345012
Iteration 191, loss = 1843.70329876
Iteration 192, loss = 1840.90765595
Iteration 193, loss = 1838.01000347
Iteration 194, loss = 1835.26079719
Iteration 195, loss = 1832.41557038
Iteration 196, loss = 1829.51531124
Iteration 197, loss = 1826.81715464
Iteration 198, loss = 1824.07747034
Iteration 199, loss = 1821.42441593
Iteration 200, loss = 1818.57163866
Iteration 201, loss = 1815.96351783
Iteration 202, loss = 1813.35422676
Iteration 203, loss = 1810.45907611
Iteration 204, loss = 1807.95044790
Iteration 205, loss = 1805.47393858
Iteration 206, loss = 1802.72346796
Iteration 207, loss = 1800.17322238
Iteration 208, loss = 1797.57948742
Iteration 209, loss = 1795.10292985
Iteration 210, loss = 1792.49896463
Iteration 211, loss = 1789.95486532
Iteration 212, loss = 1787.41453062
Iteration 213, loss = 1784.99784839
Iteration 214, loss = 1782.64295478
Iteration 215, loss = 1779.91487991
Iteration 216, loss = 1777.30456652
Iteration 217, loss = 1775.07814806
Iteration 218, loss = 1772.71090538
Iteration 219, loss = 1770.29978150
Iteration 220, loss = 1768.08712088
Iteration 221, loss = 1765.38947111
Iteration 222, loss = 1763.08241957
Iteration 223, loss = 1760.77890447
Iteration 224, loss = 1758.43033155
Iteration 225, loss = 1756.02393032
Iteration 226, loss = 1753.76496621
Iteration 227, loss = 1751.56665503
Iteration 228, loss = 1749.30893852
Iteration 229, loss = 1747.01995976
Iteration 230, loss = 1744.85794155
Iteration 231, loss = 1742.48830968
Iteration 232, loss = 1740.33882669
Iteration 233, loss = 1738.11278238
Iteration 234, loss = 1735.85072672
Iteration 235, loss = 1733.77266559
Iteration 236, loss = 1731.64360575
Iteration 237, loss = 1729.39412015
Iteration 238, loss = 1727.50251874
Iteration 239, loss = 1725.34864240
Iteration 240, loss = 1723.05391739
Iteration 241, loss = 1721.00038643
Iteration 242, loss = 1719.02790183
Iteration 243, loss = 1716.95396199
Iteration 244, loss = 1714.95316780
Iteration 245, loss = 1712.78184892
Iteration 246, loss = 1710.91995326
Iteration 247, loss = 1708.79580188
Iteration 248, loss = 1706.79702972
Iteration 249, loss = 1704.77431088
Iteration 250, loss = 1702.80616382
Iteration 251, loss = 1701.04293735
Iteration 252, loss = 1699.04687728
Iteration 253, loss = 1697.10611254
Iteration 254, loss = 1695.17091065
Iteration 255, loss = 1693.30251352
Iteration 256, loss = 1691.43074681
Iteration 257, loss = 1689.57389504
Iteration 258, loss = 1687.71680504
Iteration 259, loss = 1685.87125548
Iteration 260, loss = 1684.07259602
Iteration 261, loss = 1682.15433214
Iteration 262, loss = 1680.38411756
Iteration 263, loss = 1678.63782698
Iteration 264, loss = 1676.80475815
Iteration 265, loss = 1675.06546487
Iteration 266, loss = 1673.45544012
Iteration 267, loss = 1671.66181714
Iteration 268, loss = 1670.00114223
Iteration 269, loss = 1668.15534199
Iteration 270, loss = 1666.50257961
Iteration 271, loss = 1664.90426452
Iteration 272, loss = 1663.16147869
Iteration 273, loss = 1661.55109304
Iteration 274, loss = 1659.91510622
Iteration 275, loss = 1658.17772361
Iteration 276, loss = 1656.65109722
Iteration 277, loss = 1654.96521287
Iteration 278, loss = 1653.48409289
Iteration 279, loss = 1652.00334461
Iteration 280, loss = 1650.20851239
Iteration 281, loss = 1648.71659224
Iteration 282, loss = 1647.09756715
Iteration 283, loss = 1645.57983173
Iteration 284, loss = 1644.17941987
Iteration 285, loss = 1642.45848644
Iteration 286, loss = 1641.04470056
Iteration 287, loss = 1639.56978301
Iteration 288, loss = 1638.01839599
Iteration 289, loss = 1636.49133535
Iteration 290, loss = 1635.01417632
Iteration 291, loss = 1633.55603927
Iteration 292, loss = 1632.17179483
Iteration 293, loss = 1630.62431987
Iteration 294, loss = 1629.32720661
Iteration 295, loss = 1627.78220945
Iteration 296, loss = 1626.38593995
Iteration 297, loss = 1625.19215815
Iteration 298, loss = 1623.53975191
Iteration 299, loss = 1622.13257374
Iteration 300, loss = 1620.82325817
Iteration 301, loss = 1619.36046699
Iteration 302, loss = 1618.18545178
Iteration 303, loss = 1617.16764685
Iteration 304, loss = 1615.45502741
Iteration 305, loss = 1614.03741626
Iteration 306, loss = 1612.97412241
Iteration 307, loss = 1611.57824129
Iteration 308, loss = 1610.23012455
Iteration 309, loss = 1608.80784157
Iteration 310, loss = 1607.65014727
Iteration 311, loss = 1606.46849859
Iteration 312, loss = 1605.09724122
Iteration 313, loss = 1603.99186873
Iteration 314, loss = 1602.72886670
Iteration 315, loss = 1601.62872342
Iteration 316, loss = 1600.33855459
Iteration 317, loss = 1599.04806483
Iteration 318, loss = 1597.89100629
Iteration 319, loss = 1596.68865923
Iteration 320, loss = 1595.67133272
Iteration 321, loss = 1594.47386308
Iteration 322, loss = 1593.30711931
Iteration 323, loss = 1592.19762948
Iteration 324, loss = 1590.96447236
Iteration 325, loss = 1589.89520685
Iteration 326, loss = 1588.76841428
Iteration 327, loss = 1587.55767169
Iteration 328, loss = 1586.54364000
Iteration 329, loss = 1585.57067776
Iteration 330, loss = 1584.38587128
Iteration 331, loss = 1583.24506755
Iteration 332, loss = 1582.30451307
Iteration 333, loss = 1581.21230043
Iteration 334, loss = 1579.98531988
Iteration 335, loss = 1579.02246327
Iteration 336, loss = 1577.91130632
Iteration 337, loss = 1576.98740480
Iteration 338, loss = 1575.91081022
Iteration 339, loss = 1574.95009329
Iteration 340, loss = 1573.84691131
Iteration 341, loss = 1573.04997892
Iteration 342, loss = 1571.81699883
Iteration 343, loss = 1570.90601083
Iteration 344, loss = 1569.93829787
Iteration 345, loss = 1568.94505384
Iteration 346, loss = 1568.02324279
Iteration 347, loss = 1567.06143457
Iteration 348, loss = 1566.11535180
Iteration 349, loss = 1565.25341252
Iteration 350, loss = 1564.22287663
Iteration 351, loss = 1563.27783895
Iteration 352, loss = 1562.62332835
Iteration 353, loss = 1561.40151644
Iteration 354, loss = 1560.54739607
Iteration 355, loss = 1559.59104245
Iteration 356, loss = 1558.89702421
Iteration 357, loss = 1557.88160927
Iteration 358, loss = 1557.06109851
Iteration 359, loss = 1556.26450175
Iteration 360, loss = 1555.36735565
Iteration 361, loss = 1554.55182800
Iteration 362, loss = 1553.61527360
Iteration 363, loss = 1552.78890192
Iteration 364, loss = 1551.98267704
Iteration 365, loss = 1551.15464555
Iteration 366, loss = 1550.35739818
Iteration 367, loss = 1549.56219030
Iteration 368, loss = 1548.72479400
Iteration 369, loss = 1548.05667830
Iteration 370, loss = 1547.18092426
Iteration 371, loss = 1546.54565540
Iteration 372, loss = 1545.65873152
Iteration 373, loss = 1544.91738280
Iteration 374, loss = 1544.07971639
Iteration 375, loss = 1543.41256110
Iteration 376, loss = 1542.64067005
Iteration 377, loss = 1541.86310213
Iteration 378, loss = 1541.10643054
Iteration 379, loss = 1540.43807867
Iteration 380, loss = 1539.58533072
Iteration 381, loss = 1538.98579439
Iteration 382, loss = 1538.32173250
Iteration 383, loss = 1537.50584318
Iteration 384, loss = 1536.87567531
Iteration 385, loss = 1536.34587189
Iteration 386, loss = 1535.39509623
Iteration 387, loss = 1534.80645856
Iteration 388, loss = 1534.15941073
Iteration 389, loss = 1533.47673030
Iteration 390, loss = 1532.75816208
Iteration 391, loss = 1532.06712591
Iteration 392, loss = 1531.54007725
Iteration 393, loss = 1530.72989787
Iteration 394, loss = 1530.16410457
Iteration 395, loss = 1529.54652730
Iteration 396, loss = 1528.98874317
Iteration 397, loss = 1528.21129424
Iteration 398, loss = 1527.61001170
Iteration 399, loss = 1527.05131210
Iteration 400, loss = 1526.37045926
Iteration 401, loss = 1525.79636077
Iteration 402, loss = 1525.24526667
Iteration 403, loss = 1524.55218532
Iteration 404, loss = 1524.02021736
Iteration 405, loss = 1523.57063474
Iteration 406, loss = 1522.84652501
Iteration 407, loss = 1522.22339027
Iteration 408, loss = 1521.64223792
Iteration 409, loss = 1521.16910111
Iteration 410, loss = 1520.56279044
Iteration 411, loss = 1519.96115137
Iteration 412, loss = 1519.48731133
Iteration 413, loss = 1518.93139427
Iteration 414, loss = 1518.31006395
Iteration 415, loss = 1517.81526400
Iteration 416, loss = 1517.27605280
Iteration 417, loss = 1516.77756507
Iteration 418, loss = 1516.20124175
Iteration 419, loss = 1515.67058780
Iteration 420, loss = 1515.18513196
Iteration 421, loss = 1514.82584937
Iteration 422, loss = 1514.20972007
Iteration 423, loss = 1513.65030122
Iteration 424, loss = 1513.25542606
Iteration 425, loss = 1512.72200489
Iteration 426, loss = 1512.18421986
Iteration 427, loss = 1511.70058949
Iteration 428, loss = 1511.35731925
Iteration 429, loss = 1510.90817422
Iteration 430, loss = 1510.29343340
Iteration 431, loss = 1509.86338504
Iteration 432, loss = 1509.43715963
Iteration 433, loss = 1509.01097229
Iteration 434, loss = 1508.49309305
Iteration 435, loss = 1508.07147130
Iteration 436, loss = 1507.61658779
Iteration 437, loss = 1507.36630158
Iteration 438, loss = 1506.69003897
Iteration 439, loss = 1506.22343413
Iteration 440, loss = 1505.83982813
Iteration 441, loss = 1505.38087729
Iteration 442, loss = 1505.00158060
Iteration 443, loss = 1504.62205106
Iteration 444, loss = 1504.14476070
Iteration 445, loss = 1503.76328095
Iteration 446, loss = 1503.26959104
Iteration 447, loss = 1502.98352584
Iteration 448, loss = 1502.54254564
Iteration 449, loss = 1502.05377613
Iteration 450, loss = 1501.69125665
Iteration 451, loss = 1501.30840666
Iteration 452, loss = 1500.92286775
Iteration 453, loss = 1500.58504100
Iteration 454, loss = 1500.13058281
Iteration 455, loss = 1499.81729568
Iteration 456, loss = 1499.82976563
Iteration 457, loss = 1499.01636513
Iteration 458, loss = 1498.58292762
Iteration 459, loss = 1498.16728266
Iteration 460, loss = 1497.79281665
Iteration 461, loss = 1497.42542296
Iteration 462, loss = 1497.11011341
Iteration 463, loss = 1496.69145871
Iteration 464, loss = 1496.36182385
Iteration 465, loss = 1496.07310958
Iteration 466, loss = 1495.62293665
Iteration 467, loss = 1495.34158985
Iteration 468, loss = 1494.90236949
Iteration 469, loss = 1494.59018516
Iteration 470, loss = 1494.26374258
Iteration 471, loss = 1493.93437483
Iteration 472, loss = 1493.56412470
Iteration 473, loss = 1493.28804427
Iteration 474, loss = 1492.91005196
Iteration 475, loss = 1492.50729742
Iteration 476, loss = 1492.27114416
Iteration 477, loss = 1491.93703555
Iteration 478, loss = 1491.59335063
Iteration 479, loss = 1491.28685313
Iteration 480, loss = 1490.95078633
Iteration 481, loss = 1490.63876730
Iteration 482, loss = 1490.28939817
Iteration 483, loss = 1490.03417067
Iteration 484, loss = 1489.72266969
Iteration 485, loss = 1489.39690380
Iteration 486, loss = 1489.13495592
Iteration 487, loss = 1488.85505285
Iteration 488, loss = 1488.59114784
Iteration 489, loss = 1488.18783496
Iteration 490, loss = 1487.83113203
Iteration 491, loss = 1487.63950803
Iteration 492, loss = 1487.45277494
Iteration 493, loss = 1487.06337268
Iteration 494, loss = 1486.97730654
Iteration 495, loss = 1486.59715672
Iteration 496, loss = 1486.29702518
Iteration 497, loss = 1486.00155682
Iteration 498, loss = 1485.71314784
Iteration 499, loss = 1485.46151480
Iteration 500, loss = 1485.18343295
Iteration 501, loss = 1484.91061025
Iteration 502, loss = 1484.61123709
Iteration 503, loss = 1484.31389549
Iteration 504, loss = 1484.10912852
Iteration 505, loss = 1483.91244914
Iteration 506, loss = 1483.59329153
Iteration 507, loss = 1483.39107197
Iteration 508, loss = 1483.14718459
Iteration 509, loss = 1482.89591507
Iteration 510, loss = 1482.65337310
Iteration 511, loss = 1482.33306123
Iteration 512, loss = 1482.11145724
Iteration 513, loss = 1481.85949674
Iteration 514, loss = 1481.69224879
Iteration 515, loss = 1481.38368075
Iteration 516, loss = 1481.17627097
Iteration 517, loss = 1480.87670703
Iteration 518, loss = 1480.69524989
Iteration 519, loss = 1480.47032102
Iteration 520, loss = 1480.24686558
Iteration 521, loss = 1480.15251765
Iteration 522, loss = 1479.76606666
Iteration 523, loss = 1479.56684936
Iteration 524, loss = 1479.33024380
Iteration 525, loss = 1479.12032096
Iteration 526, loss = 1479.06853535
Iteration 527, loss = 1478.65954780
Iteration 528, loss = 1478.47048596
Iteration 529, loss = 1478.30318964
Iteration 530, loss = 1478.08567935
Iteration 531, loss = 1478.11162152
Iteration 532, loss = 1477.64174046
Iteration 533, loss = 1477.49505083
Iteration 534, loss = 1477.25226558
Iteration 535, loss = 1477.04705229
Iteration 536, loss = 1476.83745543
Iteration 537, loss = 1476.67510358
Iteration 538, loss = 1476.48963718
Iteration 539, loss = 1476.21304034
Iteration 540, loss = 1476.02854685
Iteration 541, loss = 1475.82845775
Iteration 542, loss = 1475.68253576
Iteration 543, loss = 1475.47641640
Iteration 544, loss = 1475.28319510
Iteration 545, loss = 1475.05030994
Iteration 546, loss = 1474.95620289
Iteration 547, loss = 1474.68621209
Iteration 548, loss = 1474.77891619
Iteration 549, loss = 1474.34811057
Iteration 550, loss = 1474.13544522
Iteration 551, loss = 1474.01679370
Iteration 552, loss = 1473.80053280
Iteration 553, loss = 1473.59402742
Iteration 554, loss = 1473.44852008
Iteration 555, loss = 1473.26039928
Iteration 556, loss = 1473.06237018
Iteration 557, loss = 1472.93706988
Iteration 558, loss = 1472.71257979
Iteration 559, loss = 1472.53165764
Iteration 560, loss = 1472.36213740
Iteration 561, loss = 1472.25363170
Iteration 562, loss = 1472.05081013
Iteration 563, loss = 1471.90247302
Iteration 564, loss = 1471.71783560
Iteration 565, loss = 1471.59673416
Iteration 566, loss = 1471.42941698
Iteration 567, loss = 1471.25087983
Iteration 568, loss = 1471.07796007
Iteration 569, loss = 1471.02266989
Iteration 570, loss = 1470.78174380
Iteration 571, loss = 1470.61504305
Iteration 572, loss = 1470.50598123
Iteration 573, loss = 1470.32303533
Iteration 574, loss = 1470.18668481
Iteration 575, loss = 1470.01873286
Iteration 576, loss = 1469.86340659
Iteration 577, loss = 1469.74858204
Iteration 578, loss = 1469.55018869
Iteration 579, loss = 1469.45075103
Iteration 580, loss = 1469.27757219
Iteration 581, loss = 1469.12461441
Iteration 582, loss = 1469.04713201
Iteration 583, loss = 1468.89076340
Iteration 584, loss = 1468.69175582
Iteration 585, loss = 1468.56465590
Iteration 586, loss = 1468.49067497
Iteration 587, loss = 1468.29773722
Iteration 588, loss = 1468.21602902
Iteration 589, loss = 1467.99138195
Iteration 590, loss = 1467.94935087
Iteration 591, loss = 1467.74374475
Iteration 592, loss = 1467.56690158
Iteration 593, loss = 1467.46153694
Iteration 594, loss = 1467.30726082
Iteration 595, loss = 1467.17971489
Iteration 596, loss = 1467.06677380
Iteration 597, loss = 1466.92955775
Iteration 598, loss = 1466.85039796
Iteration 599, loss = 1466.73044569
Iteration 600, loss = 1466.54221156
Iteration 601, loss = 1466.42149300
Iteration 602, loss = 1466.43769467
Iteration 603, loss = 1466.14407866
Iteration 604, loss = 1466.05229726
Iteration 605, loss = 1465.88604785
Iteration 606, loss = 1465.78217708
Iteration 607, loss = 1465.68296359
Iteration 608, loss = 1465.51856986
Iteration 609, loss = 1465.41481535
Iteration 610, loss = 1465.26820940
Iteration 611, loss = 1465.14407328
Iteration 612, loss = 1464.99387901
Iteration 613, loss = 1464.88667332
Iteration 614, loss = 1464.78947094
Iteration 615, loss = 1464.72604018
Iteration 616, loss = 1464.54516642
Iteration 617, loss = 1464.43054639
Iteration 618, loss = 1464.35716619
Iteration 619, loss = 1464.16522246
Iteration 620, loss = 1464.09262698
Iteration 621, loss = 1464.00951427
Iteration 622, loss = 1463.81735439
Iteration 623, loss = 1463.72670190
Iteration 624, loss = 1463.62187925
Iteration 625, loss = 1463.54025997
Iteration 626, loss = 1463.46478079
Iteration 627, loss = 1463.29944499
Iteration 628, loss = 1463.18128387
Iteration 629, loss = 1463.16350919
Iteration 630, loss = 1462.95637416
Iteration 631, loss = 1462.88043083
Iteration 632, loss = 1462.73506817
Iteration 633, loss = 1462.65106812
Iteration 634, loss = 1462.53330908
Iteration 635, loss = 1462.52559533
Iteration 636, loss = 1462.38929983
Iteration 637, loss = 1462.31829776
Iteration 638, loss = 1462.19602749
Iteration 639, loss = 1462.01303363
Iteration 640, loss = 1462.01307338
Iteration 641, loss = 1462.03469199
Iteration 642, loss = 1461.77077611
Iteration 643, loss = 1461.73217813
Iteration 644, loss = 1461.56160586
Iteration 645, loss = 1461.52752852
Iteration 646, loss = 1461.35563024
Iteration 647, loss = 1461.31792148
Iteration 648, loss = 1461.18315061
Iteration 649, loss = 1461.08593342
Iteration 650, loss = 1460.96058628
Iteration 651, loss = 1460.86444196
Iteration 652, loss = 1460.80028893
Iteration 653, loss = 1460.66925297
Iteration 654, loss = 1460.55733629
Iteration 655, loss = 1460.50606770
Iteration 656, loss = 1460.45868414
Iteration 657, loss = 1460.42607653
Iteration 658, loss = 1460.37095280
Iteration 659, loss = 1460.09798133
Iteration 660, loss = 1461.00288420
Iteration 661, loss = 1459.95580952
Iteration 662, loss = 1459.80584106
Iteration 663, loss = 1459.80103670
Iteration 664, loss = 1459.65215552
Iteration 665, loss = 1459.61167093
Iteration 666, loss = 1459.44810024
Iteration 667, loss = 1459.40367439
Iteration 668, loss = 1459.29962210
Iteration 669, loss = 1459.20474768
Iteration 670, loss = 1459.19149466
Iteration 671, loss = 1459.02396353
Iteration 672, loss = 1459.18788281
Iteration 673, loss = 1459.07074200
Iteration 674, loss = 1458.78449336
Iteration 675, loss = 1458.75297823
Iteration 676, loss = 1458.67347611
Iteration 677, loss = 1458.55829845
Iteration 678, loss = 1458.77024851
Iteration 679, loss = 1458.35772792
Iteration 680, loss = 1458.35785040
Iteration 681, loss = 1458.26820706
Iteration 682, loss = 1458.51691912
Iteration 683, loss = 1458.12907170
Iteration 684, loss = 1458.04276344
Iteration 685, loss = 1457.82785395
Iteration 686, loss = 1457.82747988
Iteration 687, loss = 1457.77974786
Iteration 688, loss = 1457.66127731
Iteration 689, loss = 1457.66186223
Iteration 690, loss = 1457.56436012
Iteration 691, loss = 1457.44203213
Iteration 692, loss = 1457.37206182
Iteration 693, loss = 1457.37164436
Iteration 694, loss = 1457.18958419
Iteration 695, loss = 1457.17507453
Iteration 696, loss = 1457.37766781
Iteration 697, loss = 1457.01055688
Iteration 698, loss = 1456.89403408
Iteration 699, loss = 1457.10815629
Iteration 700, loss = 1456.79798753
Iteration 701, loss = 1456.84537095
Iteration 702, loss = 1456.65737007
Iteration 703, loss = 1456.63483386
Iteration 704, loss = 1456.48297362
Iteration 705, loss = 1456.41344824
Iteration 706, loss = 1456.42545956
Iteration 707, loss = 1456.46281519
Iteration 708, loss = 1456.25751095
Iteration 709, loss = 1456.13019811
Iteration 710, loss = 1456.04177619
Iteration 711, loss = 1456.04324511
Iteration 712, loss = 1456.02562996
Iteration 713, loss = 1455.87846321
Iteration 714, loss = 1455.80921456
Iteration 715, loss = 1455.74744405
Iteration 716, loss = 1455.67371560
Iteration 717, loss = 1455.64199462
Iteration 718, loss = 1455.50761669
Iteration 719, loss = 1455.52342634
Iteration 720, loss = 1455.49513053
Iteration 721, loss = 1455.34420172
Iteration 722, loss = 1455.27786046
Iteration 723, loss = 1455.22491577
Iteration 724, loss = 1455.24107867
Iteration 725, loss = 1455.08769052
Iteration 726, loss = 1455.14145724
Iteration 727, loss = 1454.98458908
Iteration 728, loss = 1454.97760890
Iteration 729, loss = 1454.83642155
Iteration 730, loss = 1454.80371177
Iteration 731, loss = 1454.76899686
Iteration 732, loss = 1454.65253513
Iteration 733, loss = 1454.56736981
Iteration 734, loss = 1454.70291336
Iteration 735, loss = 1454.45380220
Iteration 736, loss = 1454.40163653
Iteration 737, loss = 1454.39368829
Iteration 738, loss = 1454.43386288
Iteration 739, loss = 1454.33854965
Iteration 740, loss = 1454.30976547
Iteration 741, loss = 1454.11296066
Iteration 742, loss = 1454.07045308
Iteration 743, loss = 1453.99900827
Iteration 744, loss = 1453.95509507
Iteration 745, loss = 1453.89209381
Iteration 746, loss = 1453.99245710
Iteration 747, loss = 1453.73550922
Iteration 748, loss = 1453.65404523
Iteration 749, loss = 1453.87374748
Iteration 750, loss = 1453.59043844
Iteration 751, loss = 1453.62049704
Iteration 752, loss = 1453.46474654
Iteration 753, loss = 1453.65455246
Iteration 754, loss = 1453.30599015
Iteration 755, loss = 1453.35692686
Iteration 756, loss = 1453.30858946
Iteration 757, loss = 1453.13202316
Iteration 758, loss = 1453.17102451
Iteration 759, loss = 1453.06444402
Iteration 760, loss = 1453.03754143
Iteration 761, loss = 1453.04623691
Iteration 762, loss = 1452.95290696
